,Silhouette,Davies-Bouldin,Calinski-Harabasz,n_clusters,model
Kmeans_2,0.3870035544443353,1.0876590229010097,1763.360199334725,2,Kmeans
Cmeans_2,0.3844372281269206,1.1054951852254002,1752.718944398692,2,Cmeans
Mountain_2,0.32298258384353845,1.413640519528298,1136.2318111067693,2,Mountain
Substract_2,0.28389897240743395,1.4312205080254283,967.7589393642064,2,Substract
Agglomerative_2,0.3257101343817512,0.8644742833704174,666.8753637914209,2,Agglomerative
Kmeans_3,0.4333824589813647,0.9576899497104864,2110.984310294979,3,Kmeans
Cmeans_3,0.3601473487935814,1.1015335702543083,1493.8044650761476,3,Cmeans
Mountain_3,0.33853556759845427,1.0140460579290453,1608.327136683462,3,Mountain
Substract_3,0.0929503821665268,1.2197632979706838,577.1472333445689,3,Substract
Agglomerative_3,0.39717569176422984,0.9395284355145034,1525.5192196638047,3,Agglomerative
Kmeans_4,0.37636461879396677,0.9820769924703827,1905.2466512580781,4,Kmeans
Cmeans_4,0.4184978146377174,1.1264084207398966,1794.8881597028085,4,Cmeans
Mountain_4,0.23978443384015496,1.0471388225815064,1242.5997908762497,4,Mountain
Substract_4,-0.005726930704086508,1.1472706580189898,252.28990064622636,4,Substract
Agglomerative_4,0.4697512725704745,0.700559391771307,2210.6495675664123,4,Agglomerative
Kmeans_5,0.453172823059793,0.7936833500003105,2683.359948926287,5,Kmeans
Cmeans_5,0.2979925688003081,1.1335161384125243,1464.1515762891363,5,Cmeans
Mountain_5,0.22518681512609193,0.9507781946852868,1085.942904708599,5,Mountain
Substract_5,0.0847885718526667,1.3514344681508583,423.9975520897421,5,Substract
Agglomerative_5,0.4491738230881518,0.6343248330988238,1665.9933590749076,5,Agglomerative
Kmeans_6,0.442339818890035,0.8050926712398483,2555.6668223506044,6,Kmeans
Cmeans_6,0.17899743351665925,1.8538117272085817,995.389617003244,6,Cmeans
Mountain_6,0.2623680946844842,1.097751593111701,1266.797836488991,6,Mountain
Substract_6,0.10807806912746194,1.4140469338127988,400.18404249398634,6,Substract
Agglomerative_6,0.4339601215189834,0.6400153489137241,1763.0562671322964,6,Agglomerative
Kmeans_7,0.4089573620192061,0.910850856554698,2308.6402840641613,7,Kmeans
Cmeans_7,0.3139424944356688,1.409516661005195,1704.4068887529163,7,Cmeans
Mountain_7,0.26338286592419397,1.1115080716787624,1338.9960185294517,7,Mountain
Substract_7,0.09794012380699472,1.463034536753684,333.5385216504331,7,Substract
Agglomerative_7,0.4175552245321291,0.6504293668173485,1653.1674467894363,7,Agglomerative
Kmeans_8,0.3950222681847367,0.8771705415341818,2343.750756341822,8,Kmeans
Cmeans_8,0.2842740547938271,1.3802610480390116,1709.19146251496,8,Cmeans
Mountain_8,0.23091250243044034,1.1088047086833344,1153.7789020417808,8,Mountain
Substract_8,0.11644420140497036,1.7281694627321413,401.7967186531851,8,Substract
Agglomerative_8,0.3587207597092392,0.7544226767886487,1565.0301836855376,8,Agglomerative
Kmeans_9,0.3494910266924055,0.9947073089850114,2251.2736848211093,9,Kmeans
Cmeans_9,0.30395235932461845,1.3545760029579057,1721.9390811057358,9,Cmeans
Mountain_9,0.23091250243044034,1.1088047086833344,1153.7789020417808,9,Mountain
Substract_9,0.1390741687774141,1.554498431813018,499.028262848271,9,Substract
Agglomerative_9,0.35215989871265607,0.7905068878494603,1377.1773224461597,9,Agglomerative
Kmeans_10,0.37867144193816016,0.8922298804494005,2269.5108687673032,10,Kmeans
Cmeans_10,0.28263782307208535,1.1339310880877087,1742.1162769540533,10,Cmeans
Mountain_10,0.23091250243044034,1.1088047086833344,1153.7789020417808,10,Mountain
Substract_10,0.1258198524210632,1.4656777605937472,572.8844066383753,10,Substract
Agglomerative_10,0.31035484039914357,0.8322289845374666,1522.0741347910189,10,Agglomerative
Kmeans_11,0.3523304802143174,0.924582734817417,2460.071317887838,11,Kmeans
Cmeans_11,0.26229555260689685,1.0754373024483024,1800.4741071542774,11,Cmeans
Mountain_11,0.23091250243044034,1.1088047086833344,1153.7789020417808,11,Mountain
Substract_11,0.10662879180295075,1.5468181150425524,542.3478774057598,11,Substract
Agglomerative_11,0.3179476051950571,0.8142526515619387,1457.8296099156912,11,Agglomerative
